CODIGO,NOMBRE,DESCRIPCION,COMPRA,MAYOREO,LLEVAR,COLOCADO,EXISTENCIAS,CANT_MIN,TIPO_MED,PROVEEDOR,CATEGORIA,MARCA1,MODELO1,ANIO1,MARCA2,MODELO2,ANIO2,MARCA3,MODELO3,ANIO3,MARCA4,MODELO4,ANIO4,MARCA5,MODELO5,ANIO5
FW03482GBN,,ATITUDE 4PTS /ACCET 2/4 HB Y SEDAN 12-14 ,,"$1,960.00","$2,060.00","$2,160.00",2,,,CRINAMEX,PARABRISAS,CHRYSLER,,41974,,,,,,,,,,,,
DW01853GTN,,AVENGER/CIRRUS/200 4PTS 07-14 (DW01683),,"$2,060.00","$2,160.00","$2,400.00",,,,GUARDIAN,PARABRISAS,CHRYSLER,,41821,,,,,,,,,,,,
DW01643GBN,,CALIBER 4PTS 07-12 SIN ETIQUETA,,"$1,500.00","$1,600.00","$1,800.00",1,,,CRINAMEX,PARABRISAS,CHRYSLER,,45633,,,,,,,,,,,,
DW01118GBN,,CARAVAN/VOYAGER 87-95 (DW00963 CITSA),,"$1,230.00","$1,330.00","$1,530.00",,,,CRINAMEX,PARABRISAS,CHRYSLER,,87-95,,,,,,,,,,,,
DW01226GBN,,CARAVAN/VOYAGER C/A 96- 00 / 01-07 /,,"$1,420.00","$1,500.00","$1,700.00",,,,CRINAMEX,PARABRISAS,CHRYSLER,,45474,,,,,,,,,,,,
DW01224GTN,,CARAVAN/VOYAGER S/A 96-00 / 01-07 /,,"$1,480.00","$1,600.00","$1,800.00",6,,,CRINAMEX,PARABRISAS,CHRYSLER,,"96-00, 01-07",,,,,,,,,,,,
DW01708GTN,,GRAND CARAVAN/TAW&CONTRY/ ROUTAN 08-12,,"$2,110.00","$2,210.00","$2,450.00",,,,CRINAMEX,PARABRISAS,CHRYSLER,,45634,,,,,,,,,,,,
DW01660GTY,,CHARGER/300/MAGNUN 4PTS 06-10           1780,,"$2,750.00","$2,850.00","$3,050.00",,,,,PARABRISAS,CHRYSLER,,45571,,,,,,,,,,,,
DW00952GBN,,CHEROKEE  84-99 (DW01140)COMANCHE ,,$920.00,"$1,070.00","$1,300.00",3,,,CRINAMEX,PARABRISAS,CHRYSLER,,84-99,,,,,,,,,,,,
DW01700GTN,,COMMANDER 4PTS 06-11,,"$1,280.00","$1,380.00","$1,580.00",,,,,PARABRISAS,CHRYSLER,,45602,,,,,,,,,,,,
DW01662GBN,,COMPASS 4PTS 07-16,,"$1,500.00","$1,650.00","$1,800.00",3,,,CITSA,PARABRISAS,CHRYSLER,,42552,,,,,,,,,,,,
DW00973GBN,,DART KA /PLYMOUNT 2/4 PTS 81-88 DW00923,,"$1,070.00","$1,210.00","$1,350.00",,,,CITSA,PARABRISAS,CHRYSLER,,81-88,,,,,,,,,,,,
DW00691GBN,,DART 4 PTS MOD. 76,,"$1,020.00","$1,170.00","$1,350.00",6,,,CITSA,PARABRISAS,CHRYSLER,,,,,,,,,,,,,,
DW00690GBN,,DART 2 PTAS HARD TOP 67-76,$502.00,"$1,220.00","$1,370.00","$1,550.00",4,,,CRINAMEX,PARABRISAS,CHRYSLER,,67-76,,,,,,,,,,,,
DW02016GTY,,DART 4 PTS SEDAN 13-14,,"$2,860.00","$2,910.00","$3,180.00",,,,,PARABRISAS,CHRYSLER,,13-14,,,,,,,,,,,,
DW00999GBN,,DAKOTA PICKUP 90-97 2 PTS,,"$1,100.00","$1,230.00","$1,360.00",5,,,CITSA,PARABRISAS,CHRYSLER,,90-97,,,,,,,,,,,,
DW01472GBN,,DAKOTA /DURANGO 97-04 (DW01295)                           VITRO,,"$1,010.00","$1,080.00","$1,380.00",,,,CITSA,PARABRISAS,CHRYSLER,,97-04,,,,,,,,,,,,
DW01590GBN,,DAKOTA /RAIDER CABINA 1/2 YDOBLE CABINA 05-11,,"$1,470.00","$1,620.00","$1,780.00",4,,,CITSA,PARABRISAS,CHRYSLER,,45601,,,,,,,,,,,,
DW01043GBN,,"DYNASTY 4 PTS 88-93 / FIFTH AVENUE, IMPERIAL 4 PTS 90-93",,"$1,300.00","$1,400.00","$1,500.00",4,,,CRINAMEX,PARABRISAS,CHRYSLER,,"88-93, 90-93",,,,,,,,,,,,
DW01555GBN,,DURANGO/ASPEN  05-09,,"$1,540.00","$1,690.00","$1,840.00",9,,,CRINAMEX,PARABRISAS,CHRYSLER,,45540,,,,,,,,,,,,
DW00914GBN,,DODGE PICK UP/DOBLERODADA/RAM CHARGER/VOLTEO 73-93 (DW00796)               VITRO,$619.45,$950.00,"$1,050.00","$1,150.00",6,,,CRINAMEX,PARABRISAS,CHRYSLER,,73-93,,,,,,,,,,,,
DW00760GBN,,DODGE VAN  3PTS 70-79,,"$1,020.00","$1,070.00","$1,400.00",,,,,PARABRISAS,CHRYSLER,,70-79,,,,,,,,,,,,
DW00964GBN,,DODGE VAN 89-93 CON GOMA (27.0X72.0),,$720.00,$780.00,"$1,200.00",,,,CRINAMEX,PARABRISAS,CHRYSLER,,89-93,,,,,,,,,,,,
DW01167GTN,,DODGE VAN 94-03 PEGADO (24.5x73.0),,"$1,290.00","$1,450.00","$1,650.00",3,,,CITSA,PARABRISAS,CHRYSLER,,94-03,,,,,,,,,,,,
DW01142GBN,,GRAN CHEROKEE 4PTS 93-98,,"$1,150.00","$1,290.00","$1,450.00",7,,,CITSA,PARABRISAS,CHRYSLER,,93-98,,,,,,,,,,,,
DW01346-GBN,,GRAN CHEROKEE 4PTS 99-04,,"$1,270.00","$1,420.00","$1,600.00",5,,,CITSA,PARABRISAS,CHRYSLER,,99-04,,,,,,,,,,,,
DW01591GTN,,GRAND CHEROKEE 05-10,"$1,210.00","$1,350.00","$1,450.00","$1,650.00",,,,,PARABRISAS,CHRYSLER,,45570,,,,,,,,,,,,
DW01839GTY,,GRAND CHEROKEE /DURANGO 11-13,,"$1,430.00","$1,480.00","$1,760.00",,,,,PARABRISAS,CHRYSLER,,41579,,,,,,,,,,,,
FW02813GBN,,H100 2PTS /CARGO VAN 06-10,,"$1,400.00","$1,530.00","$1,650.00",4,,,CITSA,PARABRISAS,CHRYSLER,,45571,,,,,,,,,,,,
DW04045GBN,,H100 03 / 06 H1000 FW02678 C/GOMA (CLAVE NAGS FW02678),$775.41,"$1,020.00",$117.00,"$1,350.00",4,,,CITSA,PARABRISAS,CHRYSLER,,,,,,,,,,,,,,
